[INFO] (00:00:0007): compiling base_vs.hlsl, type: vs
[WARN] (00:11:0634): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0651): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0668): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0685): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0701): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0718): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0734): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0751): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0768): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0784): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0801): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0818): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0835): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0852): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0868): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0885): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0901): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0917): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0935): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0951): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0968): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:11:0985): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0002): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0019): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0035): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0051): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0068): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0085): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0101): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0118): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0135): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0151): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0167): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0185): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0201): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0218): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0234): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0251): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0268): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0285): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0301): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0318): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0335): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0351): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0367): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0384): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0401): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0418): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0434): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0452): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0468): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0485): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0501): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0518): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0535): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0551): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0568): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0585): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0601): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0618): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0635): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0651): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0668): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0684): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0701): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0718): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0734): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0751): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0768): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0784): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0801): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0818): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0834): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0851): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0867): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0885): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0901): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0918): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0934): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0951): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0968): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:12:0985): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0001): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0017): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0034): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0051): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0068): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0085): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0101): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0118): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0134): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0151): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0167): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0184): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0201): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0218): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0234): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0251): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0267): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0284): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0301): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0317): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0335): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0351): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0368): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0384): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0402): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0418): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0435): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0453): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0468): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0486): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0501): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0517): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0534): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0551): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0567): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0585): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0602): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0618): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0634): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0651): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0668): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0684): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0701): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0718): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0735): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0752): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0768): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0784): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0800): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0817): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0834): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0851): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0867): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0884): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0902): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0917): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0935): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0951): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0968): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:13:0984): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0001): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0019): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0034): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0051): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0068): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0085): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0101): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0117): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0134): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0151): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0167): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0184): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0201): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0217): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0235): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0251): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0268): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0284): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0301): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0317): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0334): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0350): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0368): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0385): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0401): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0418): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0434): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0452): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0467): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0484): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0501): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0517): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0535): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0551): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0568): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0584): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0601): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0618): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0635): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0652): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0668): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0685): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0701): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0717): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0734): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0751): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0768): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0784): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0801): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0818): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0834): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0851): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0867): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0885): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0901): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0918): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0936): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0952): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:14:0968): timers are not ready yet (start: not ready, end: not ready)
